id,rtti_name,short_name,vtable_rva
1,ActionStateUpdatedEvent,actionstateupdated,0x2ac16a0
2,ActivateEvent,activate,0x2ac15c0
3,ActivateDefaultStanceEvent,activatedefaultstance,0x2b8a410
4,ActivateEffectEvent,activateeffect,0x2bab228
5,ActivateSensorEvent,activatesensor,0x2ae9700
6,ActorTransferPodArrivedEvent,actortransferpodarrived,0x2ba6528
7,AddCollisionFilterEvent,addcollisionfilter,0x2ba6640
8,AddMapBlipEvent,addmapblip,0x2ba6b80
9,AddOxygenTimeEvent,addoxygentime,0x2ba5e60
10,AddTempZoneEvent,addtempzone,0x2baa850
11,AIOrderCancelledEvent,aiordercancelled,0x2ba7168
12,AIOrderFinishedEvent,aiorderfinished,0x2ba7130
13,AIOrderParamEditedEvent,aiorderparamedited,0x2ba71d8
14,AIOrderReadyEvent,aiorderready,0x2ba7280
15,AIOrderSyncPointReleasedEvent,aiordersyncpointreleased,0x2ba71a0
16,AirlockCycledEvent,airlockcycled,0x2ba5e28
17,AlertLevelChangedEvent,alertlevelchanged,0x2ba8128
18,AmmoChangedEvent,ammochanged,0x2ba5fe8
19,AnimationTickedEvent,animationticked,0x2c80470
20,AnimationTimerExpiredEvent,animationtimerexpired,0x2bafb20
21,ApproachingWaypointEvent,approachingwaypoint,0x2ba9238
22,AreaDamageTriggeredEvent,areadamagetriggered,0x2ba5d10
23,AreaDamageRangeRequestedEvent,areadamagerangerequested,0x2baf500
24,ArrivedAtWaypointEvent,arrivedatwaypoint,0x2baf7a0
25,AssignHiredActorEvent,assignhiredactor,0x2ba5f40
26,AttachBombEvent,attachbomb,0x2b8a598
27,AttachmentEnteredEvent,attachmententered,0x2ba6a68
28,AttachmentLeftEvent,attachmentleft,0x2ba6a30
29,AttachShipToDockEvent,attachshiptodock,0x2ba9cf0
30,AttackedEvent,attacked,0x2ba9580
31,AttackedComponentEvent,attackedcomponent,0x2ba9548
32,AttackStartedEvent,attackstarted,0x2ba7600
33,AttackStoppedEvent,attackstopped,0x2ba74e8
34,AutoPilotDeactivatedEvent,autopilotdeactivated,0x2b32888
35,AutoPilotTargetSetEvent,autopilottargetset,0x2ba6de8
36,BecameFormationLeaderEvent,becameformationleader,0x2baf6f8
37,BecameFormationWingmanEvent,becameformationwingman,0x2baf6c0
38,BoardingOperationAbortedEvent,boardingoperationaborted,0x2ba7408
39,BoardingOperationCreatedEvent,boardingoperationcreated,0x2ba7558
40,BoardingOperationRemovedEvent,boardingoperationremoved,0x2ba73d0
41,BoardingOperationStartedEvent,boardingoperationstarted,0x2ba7520
42,BoardingPhaseChangedEvent,boardingphasechanged,0x2ba7478
43,BoardingSupportFailedEvent,boardingsupportfailed,0x2baf998
